,Name,Result,Description,id
11,708CoverLetter,"__Result = ""Вітаємо, "" + __Product.Insurer.Face.Firstname + "" "" + __Product.Insurer.Face.Secondname + ""</br><br/>Направляємо Вам у вкладенні Індивідуальну пропозицію № "" + __Product.PolisNumber + "" (ID заявки "" + __InsuranceApplication.id.ToString() + "") за продуктом \""Особиста безпека\"", код страхового продукту "" + __Product.GetProductTypeCode() + ""</br><br/>Для подальшого укладання договору страхування перейдіть за посиланням "" + __Context.GetSetting(""PaymentURL"") + __InsuranceApplication.id.ToString() + ""-"" + __InsuranceApplication.gid.ToString().Substring(0, __InsuranceApplication.gid.ToString().IndexOf(""-"")) + "", підпишіть договір, укладений відповідно до страхового продукту \""Особиста безпека\"" разовим ідентифікатором: {smscode} та оплатіть договір."" + ""</br><br/>З боку НАСК \""ОРАНТА\"" індивідуальну пропозицію підписано кваліфікованим електронним підписом уповноваженої особи НАСК \""ОРАНТА\"".<br/>На виконання вимог ст.86-88 Закону України \""Про страхування\"" надсилаємо для ознайомлення до укладення договору страхування наступні документи:"" + ""</br><br/>Інформаційний документ про стандартний страховий продукт \""Особиста безпека\"", який знаходиться за наступним посиланням: <a href='https://apifalcon.oranta.ua/files/bca8aadf-d06f-44b4-ab8a-9464198a672f'>https://apifalcon.oranta.ua/files/bca8aadf-d06f-44b4-ab8a-9464198a672f<a/>"" + ""</br><br/>Інформація про страховика, яка знаходиться за наступним посиланням: <a href='https://oranta.ua/info/services-and-insurer/'>https://oranta.ua/info/services-and-insurer/<a/>"" + ""</br><br/>Інформація про страхового посередника, яка знаходиться за наступним посиланням: "" + AgentCoverLetter + ""</br><br/>Підписуючи договір страхування Ви підтверджуєте, що ознайомилися та приймаєте умови:</br><br/>Загальних умов страхового продукту \""Особиста безпека\"" № 9.1.24, які розташовані за посиланням : <a href='https://apifalcon.oranta.ua/files/bd44274f-2c74-476a-9df9-4d79f066148a'>https://apifalcon.oranta.ua/files/bd44274f-2c74-476a-9df9-4d79f066148a<a/></br><br/>Пропозиції (Оферти) укласти Договір за страховим продуктом \""Особиста безпека\"" (код страхового продукту 708), яка розташована за посиланням: <a href='https://apifalcon.oranta.ua/files/f33fdd60-32cc-4276-8aa4-468d472e031f'>https://apifalcon.oranta.ua/files/f33fdd60-32cc-4276-8aa4-468d472e031f<a/> та даєте згоду на укладення договору."" + ""</br><br/>З найкращими побажаннями</br>ПАТ \""НАСК \""ОРАНТА\"""";
","Код формує привітальний лист для страхувальника з детальною інформацією про індивідуальну пропозицію, умови договору, посилання на документи та інструкції щодо підписання та оплати.",11
12,717Franshise,"__Result = ""---"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""521"");
if (program != null)
{
	Workflow.DTO.Models.InsuranceObject insuranceObject = program.InsuranceObjects.FirstOrDefault(i => i.GetInsuranceObjectTypeName() == ""Об’єкт страхування"" && i.Object != null && i.Covers != null);
	if (insuranceObject != null)
	{
		Workflow.DTO.Models.Cover cover = insuranceObject.Covers.FirstOrDefault(c => c.GetRiskName() == ""Шкода, заподіяна майну"" && c.Franchises != null);
		if (cover != null)
		{
			Workflow.DTO.Models.Franchise franchise = cover.Franchises.FirstOrDefault(f => f.GetFranchiseTypeName() == ""Франшиза універсальна"");
			if (franchise != null)
			{
				if (franchise.GetFranchiseValueCaption() != null && !string.IsNullOrEmpty(franchise.GetFranchiseValueCaption().ToString()))
				{
					__Result = franchise.GetFranchiseValueCaption().ToString();
				}
			}
		}
	}
}
","Код шукає параметр ""Франшиза універсальна"" по ризику ""Шкода, заподіяна майну"" у програмі ""521"" і повертає його значення, якщо знайдено; інакше — ""---"".",12
13,717Rate,"__Result = ""---"";
Workflow.DTO.Models.Program prog = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""521"");
if (prog != null)
{
	decimal value = prog.InsuranceRate;
	__Result = value.ToString(""N4"");
}
","Код повертає страхову ставку програми з кодом ""521"" у форматі з чотирма десятковими знаками; якщо програма не знайдена — повертає ""---"".",13
14,717InsurerIdentificationCode,"__Result = ""---"";
if (__Product.Insurer.Face.PersonTypeID != 2)
{
	if (__Product.Insurer.Face.IdentificationCode != null)
	{
		__Result = string.Format(""{0}"", __Product.Insurer.Face.IdentificationCode);
	}
}
","Код повертає ідентифікаційний код страхувальника-фізичної особи, якщо страхувальник не є юридичною особою; інакше — ""---"".",14
15,717InsurerEDRPOU,"__Result = ""---"";
if (__Product.Insurer.Face.PersonTypeID == 2)
{
	if (__Product.Insurer.Face.EDRPOU != null)
	{
		__Result = string.Format(""{0}"", __Product.Insurer.Face.EDRPOU);
	}
}
","Код повертає код ЄДРПОУ страхувальника, якщо це юридична особа; інакше — ""---"".",15
16,708DirectorateAddress,"__Result = """";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""102"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Адреса відокремленого підрозділу"");
	if (param != null)
	{
		__Result = param.GetParameterValueCaption().ToString();
	}
}
","Код витягує параметр ""Адреса відокремленого підрозділу"" із програми з кодом ""102"" і повертає його значення.",16
17,750InsTariffAutocivilka,"__Result = ""---"";
Workflow.DTO.Models.Program prog = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""247"");
if (prog != null)
{
	decimal value = prog.InsuranceRate;
	__Result = value.ToString(""N6"");
}
","Код повертає страхову ставку програми з кодом ""247"" з точністю до шести десяткових знаків; якщо програма відсутня — повертає ""---"".",17
18,750InsTariffAsist,"__Result = ""---"";
Workflow.DTO.Models.Program prog = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""148"");
if (prog != null)
{
	decimal value = prog.InsuranceRate;
	__Result = value.ToString(""N6"");
}
","Код повертає страхову ставку програми з кодом ""148"" з точністю до шести десяткових знаків; якщо програма відсутня — повертає ""---"".",18
19,750InsSumAutocivilka,"__Result = ""---"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""247"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Страхова сума"");
	if (param != null)
	{
		__Result = param.GetParameterValueCaption().ToString();
	}
}
","Код повертає значення параметра ""Страхова сума"" для програми з кодом ""247"", або ""---"", якщо параметр або програма відсутні.",19
20,750InsSumAsist,"__Result = ""---"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""148"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Страхова сума"");
	if (param != null)
	{
		__Result = param.GetParameterValueCaption().ToString();
	}
}
",,20
21,769SumInsured1orMorePassengers,"__Result = ""---"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""250"");
if (program != null)
{
	int count = program.InsuranceObjects.Where(i => i.GetInsuranceObjectTypeName() == ""Об’єкт страхування"").Count();
	if (count >= 2)
	{
		__Result = ""Згідно з Додатком 2 до Договору"";
	}
	else
	{
			Workflow.DTO.Models.InsuranceObject insuranceObject = program.InsuranceObjects.FirstOrDefault(i => i.GetInsuranceObjectTypeName() == ""Об’єкт страхування"");
		if (insuranceObject != null && insuranceObject.Object != null)
		{
			Workflow.DTO.Models.EntityAttribute attribute = insuranceObject.EntityAttributes.FirstOrDefault(t => t.GetAttributeName() == ""Ліміт відповідальності по 1 потерпілій особі за шкоду, заподіяну життю та здоров’ю пасажирів"");
			if (attribute != null)
			{
				__Result = attribute.GetValueCaption().ToString();
			}
		}
	}
}
",,21
22,769SP249,"__Result = ""---"";
Workflow.DTO.Models.Program prog = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""249"");
if (prog != null)
{
	if (__Product.PaymentPeriods != null && __Product.PaymentPeriods.Count() > 0)
	{
		__Result = __Product.PaymentPeriods.Sum(pp => pp.PlanedPayments.Where(p => p.ProgramGID == prog.gid).Sum(p => p.Value)).ToString(""N2"");
	}
}
",,22
23,769SP250,"__Result = ""---"";
Workflow.DTO.Models.Program prog = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""250"");
if (prog != null)
{
	if (__Product.PaymentPeriods != null && __Product.PaymentPeriods.Count() > 0)
	{
		__Result = __Product.PaymentPeriods.Sum(pp => pp.PlanedPayments.Where(p => p.ProgramGID == prog.gid).Sum(p => p.Value)).ToString(""N2"");
	}
}
",,23
24,769SS249,"__Result = """";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""249"");
if (program != null)
{
	__Result = program.CostValue.ToString(""N2"");
}
",,24
25,769SS250,"__Result = """";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""250"");
if (program != null)
{
	__Result = program.CostValue.ToString(""N2"");
}
",,25
26,769SpecialConditions,"__Result = ""-----"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""250"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Графік платежів"");
	if (param != null && param.GetParameterValueCaption().ToString() == ""12 платежів"")
	{
		__Result = ""Дата сплати частини страхової премії: П'ятий та наступні платежі сплачується до "" + __Product.PaymentPeriods[1].PlanDate.AddSeconds((double)0).ToString(""dd"") + "" числа кожного місяця. Останній платіж - "" + __Product.PaymentPeriods[11].PlanDate.AddSeconds((double)0).ToShortDateString() + "" р."";
	}
}
",,26
27,769AreaOfAction,"__Result = ""-----"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""250"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Територія дії"");
	if (param != null)
	{
		__Result = param.ParameterValue.ToString();
	}
}
",,27
28,InsurerSignDocument,"__Result = """";
Workflow.DTO.Models.Program program = __Product.Programs[0];
Workflow.DTO.Models.Face face = __Product.Insurer.Face;
if (face != null && face.PersonTypeID != 2)
{
	Workflow.DTO.Models.Document document = __Product.Insurer.FaceDocument;
	if (document != null)
	{
		__Result = document.GetDocumentTypeName();
	}
	if (document.Number != null)
	{
		__Result = __Result + "" номер "" + document.Number;
	}
	if (!string.IsNullOrEmpty(document.IssuedBy))
	{
		__Result = __Result + "" виданий "" + document.IssuedBy;
	}
	if (document.IssuedDate != null)
	{
		__Result = __Result + "" від "" + document.IssuedDate.Value.ToShortDateString() + "" р."";
	}
}
",,28
29,704LetterSubject,"__Result = ""Договір страхування \""Майно у заставі\"" номер "" + __Product.PolisNumber;
",,29
30,704Letter,"__Result = ""Вітаємо, "" + __Product.Insurer.Face.Firstname + "" "" + __Product.Insurer.Face.Secondname + ""!<br/>Ваш електронний договір \""Майно у заставі\"" у вкладенні. Він діє з "" + __Product.BeginingDate.ToShortDateString() + "" по "" + __Product.EndingDate.AddSeconds((double)(-1)).ToShortDateString() + ""<br/>Дякуємо, що обираєте НАСК \""ОРАНТА\"".<br/>Оберігаємо з 1921 року і до сьогодні. Щодня<br/>"";
",,30
31,SMS704,"__Result = ""Разовий ідентифікатор для підписання договору Майно у заставі: {smscode}"";
",,31
32,704CoverLetter,"__Result = ""Вітаємо, "" + __Product.Insurer.Face.Firstname + "" "" + __Product.Insurer.Face.Secondname + ""</br><br/>Направляємо Вам у вкладенні Індивідуальну пропозицію № "" + __Product.PolisNumber + "" (ID заявки "" + __InsuranceApplication.id.ToString() + "") за продуктом МАЙНО У ЗАСТАВІ, код страхового продукту "" + __Product.GetProductTypeCode() + ""</br><br/>Для подальшого укладання договору страхування перейдіть за посиланням "" + __Context.GetSetting(""PaymentURL"") + __InsuranceApplication.id.ToString() + ""-"" + __InsuranceApplication.gid.ToString().Substring(0, __InsuranceApplication.gid.ToString().IndexOf(""-"")) + "", підпишіть договір, укладений відповідно до страхового продукту МАЙНО У ЗАСТАВІ за програмою страхування нерухомого майна фізичних осіб в заставі, програма страхування «єОСЕЛЯ» разовим ідентифікатором: {smscode} та оплатіть договір."" + ""</br><br/>З боку НАСК \""ОРАНТА\"" індивідуальну пропозицію підписано кваліфікованим електронним підписом уповноваженої особи НАСК \""ОРАНТА\"".<br/>На виконання вимог ст.86-88 Закону України \""Про страхування\"" надсилаємо для ознайомлення до укладення договору страхування наступні документи:"" + ""</br><br/>Інформаційний документ про стандартний страховий продукт МАЙНО У ЗАСТАВІ, який знаходиться за наступним посиланням: <a href='https://oranta.ua/info/all-products/mainotaskombank'>https://oranta.ua/info/all-products/mainotaskombank<a/>"" + ""</br><br/>Інформація про страховика, яка знаходиться за наступним посиланням: <a href='https://oranta.ua/info/services-and-insurer/'>https://oranta.ua/info/services-and-insurer/<a/>"" + ""</br><br/>Інформація про страхового посередника 1, яка знаходиться за наступним посиланням: "" + AgentBankCoverLetter + ""</br><br/>Інформація про страхового посередника 2, яка знаходиться за наступним посиланням: "" + AgentCoverLetter + ""</br><br/>Підписуючи договір страхування Ви підтверджуєте, що ознайомилися та приймаєте умови:</br><br/>Загальних умов № 43.1.24 страхового продукту МАЙНО У ЗАСТАВІ, що розташовані за посиланням: ДОДАТИ ПОСИЛАННЯ</br><br/>Пропозиції (Оферти) укласти договір, страхового продукту МАЙНО У ЗАСТАВІ (код страхового продукту 704), яка розташована за посиланням: ДОДАТИ ПОСИЛАННЯ та даєте згоду на укладення договору."" + ""</br><br/>З найкращими побажаннями</br>ПАТ \""НАСК \""ОРАНТА\"""";
",,32
33,AgentBankCoverLetter,"__Result = ""---"";
if (__Product.Programs[0].Commissions != null)
{
	Workflow.DTO.Models.Commission agentCommission = __Product.Programs[0].Commissions.FirstOrDefault(c => c.GetCommissionTypeName() == ""Банк"");
	if (agentCommission != null)
	{
		Workflow.DTO.Models.Agent agent = __Context.GetAgent(agentCommission.AgentGID);
		if (agent != null && (agent.AgentChannels == null || !agent.AgentChannels.Any(ac => ac.Code == ""11"" || ac.Code == ""21"" || ac.Code == ""31"" || ac.Code == ""32"")) && agentCommission != null && agentCommission.Agent != null)
		{
			__Result = ""<a href='https://oranta.ua/info/partners/list/"" + agentCommission.Agent.IdentificationCodeEDRPOU + ""'>https://oranta.ua/info/partners/list/"" + agentCommission.Agent.IdentificationCodeEDRPOU + ""<a/>"";
		}
		else
		{
					if (agent != null && (agent.AgentChannels == null || agent.AgentChannels.Any(ac => ac.Code == ""11"" || ac.Code == ""21"" || ac.Code == ""31"" || ac.Code == ""32"")) && agentCommission != null && agentCommission.Agent != null)
			{
				__Result = ""Відсутній"";
			}
		}
	}
}
",,33
34,AgentBankCodeNBU,"__Result = ""---"";
if (__Product.Programs[0].Commissions != null)
{
	Workflow.DTO.Models.Commission agentCommission = __Product.Programs[0].Commissions.FirstOrDefault(c => c.GetCommissionTypeName() == ""Банк"");
	if (agentCommission != null)
	{
		Workflow.DTO.Models.Agent agent = __Context.GetAgent(agentCommission.AgentGID);
		if (agent != null && (agent.AgentChannels == null || !agent.AgentChannels.Any(ac => ac.Code == ""11"" || ac.Code == ""21"" || ac.Code == ""31"" || ac.Code == ""32"")))
		{
			if (agentCommission != null && agentCommission.Agent != null)
			{
				__Result = agent.Code;
			}
		}
	}
}
",,34
35,AgentBankDoc,"__Result = ""---"";
if (__Product.Programs[0].Commissions != null)
{
	Workflow.DTO.Models.Commission agentCommission = __Product.Programs[0].Commissions.FirstOrDefault(c => c.GetCommissionTypeName() == ""Банк"");
	if (agentCommission != null)
	{
		Workflow.DTO.Models.Agent agent = __Context.GetAgent(agentCommission.AgentGID);
		if (agent != null && (agent.AgentChannels == null || !agent.AgentChannels.Any(ac => ac.Code == ""11"" || ac.Code == ""21"" || ac.Code == ""31"" || ac.Code == ""32"")))
		{
			if (agentCommission != null && agentCommission.Agent != null)
			{
				Workflow.DTO.Models.Document doc = agent.Documents.FirstOrDefault(i => i.GetDocumentTypeName() == ""Агентський договір"" && i.EndDate != null && DateTime.GetNow() <= i.EndDate.Value);
				if (doc != null)
				{
					__Result = doc.GetDocumentTypeName();
					if (doc.Number != null)
					{
						__Result = __Result + "" № "" + doc.Number;
					}
					if (doc.IssuedDate != null)
					{
						__Result = __Result + "" від "" + doc.IssuedDate.Value.ToShortDateString() + "" р."";
					}
					if (doc.StartDate != null)
					{
						__Result = __Result + "" від "" + doc.StartDate.Value.ToShortDateString() + "" р."";
					}
				}
			}
		}
	}
}
",,35
36,AgentBankINN,"__Result = ""---"";
if (__Product.Programs[0].Commissions != null)
{
	Workflow.DTO.Models.Commission agentCommission = __Product.Programs[0].Commissions.FirstOrDefault(c => c.GetCommissionTypeName() == ""Банк"");
	if (agentCommission != null)
	{
		Workflow.DTO.Models.Agent agent = __Context.GetAgent(agentCommission.AgentGID);
		if (agent != null && (agent.AgentChannels == null || !agent.AgentChannels.Any(ac => ac.Code == ""11"" || ac.Code == ""21"" || ac.Code == ""31"" || ac.Code == ""32"")))
		{
			if (agentCommission != null && agentCommission.Agent != null)
			{
				__Result = agentCommission.Agent.IdentificationCodeEDRPOU;
			}
		}
	}
}
",,36
37,AgentBankAddressFlat,"__Result = ""---"";
if (__Product.Programs[0].Commissions != null)
{
	Workflow.DTO.Models.Commission agentCommission = __Product.Programs[0].Commissions.FirstOrDefault(c => c.GetCommissionTypeName() == ""Банк"");
	if (agentCommission != null)
	{
		Workflow.DTO.Models.Agent agent = __Context.GetAgent(agentCommission.AgentGID);
		if (agent != null && (agent.AgentChannels == null || !agent.AgentChannels.Any(ac => ac.Code == ""11"" || ac.Code == ""21"" || ac.Code == ""31"" || ac.Code == ""32"")))
		{
			if (agentCommission != null && agentCommission.Agent != null && agentCommission.Agent.PostAddressObject != null)
			{
				__Result = agentCommission.Agent.PostAddressObject.Flat;
			}
		}
	}
}
",,37
38,AgentBankAddressHouse,"__Result = ""---"";
if (__Product.Programs[0].Commissions != null)
{
	Workflow.DTO.Models.Commission agentCommission = __Product.Programs[0].Commissions.FirstOrDefault(c => c.GetCommissionTypeName() == ""Банк"");
	if (agentCommission != null)
	{
		Workflow.DTO.Models.Agent agent = __Context.GetAgent(agentCommission.AgentGID);
		if (agent != null && (agent.AgentChannels == null || !agent.AgentChannels.Any(ac => ac.Code == ""11"" || ac.Code == ""21"" || ac.Code == ""31"" || ac.Code == ""32"")))
		{
			if (agentCommission != null && agentCommission.Agent != null && agentCommission.Agent.PostAddressObject != null)
			{
				__Result = agentCommission.Agent.PostAddressObject.House;
			}
		}
	}
}
",,38
39,AgentBankAddressStreet,"__Result = ""---"";
if (__Product.Programs[0].Commissions != null)
{
	Workflow.DTO.Models.Commission agentCommission = __Product.Programs[0].Commissions.FirstOrDefault(c => c.GetCommissionTypeName() == ""Банк"");
	if (agentCommission != null)
	{
		Workflow.DTO.Models.Agent agent = __Context.GetAgent(agentCommission.AgentGID);
		if (agent != null && (agent.AgentChannels == null || !agent.AgentChannels.Any(ac => ac.Code == ""11"" || ac.Code == ""21"" || ac.Code == ""31"" || ac.Code == ""32"")))
		{
			if (agentCommission != null && agentCommission.Agent != null && agentCommission.Agent.PostAddressObject != null)
			{
				__Result = agentCommission.Agent.PostAddressObject.Street;
			}
		}
	}
}
",,39
